Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Pretraining Subsample
auprc,CLMBR_DAPT,CLMBR,"0.313 [0.201, 0.421]","0.289 [0.184, 0.39]","0.024 [0.004, 0.047]",0.024,0.1
auprc_c,CLMBR_DAPT,CLMBR,"0.885 [0.83, 0.931]","0.875 [0.821, 0.922]","0.01 [0.003, 0.017]",0.006,0.1
auroc,CLMBR_DAPT,CLMBR,"0.887 [0.833, 0.936]","0.88 [0.826, 0.928]","0.007 [-0.002, 0.014]",0.1,0.1
ece,CLMBR_DAPT,CLMBR,"0.005 [0.003, 0.009]","0.005 [0.003, 0.009]","-0.0 [-0.001, 0.001]",0.978,0.1
auprc,CLMBR_DAPT,CLMBR,"0.297 [0.191, 0.401]","0.289 [0.184, 0.39]","0.01 [-0.012, 0.03]",0.342,0.01
auprc_c,CLMBR_DAPT,CLMBR,"0.874 [0.821, 0.92]","0.875 [0.821, 0.922]","-0.001 [-0.009, 0.006]",0.85,0.01
auroc,CLMBR_DAPT,CLMBR,"0.876 [0.824, 0.922]","0.88 [0.826, 0.928]","-0.004 [-0.014, 0.005]",0.352,0.01
ece,CLMBR_DAPT,CLMBR,"0.006 [0.003, 0.009]","0.005 [0.003, 0.009]","0.0 [-0.001, 0.002]",0.516,0.01
auprc,CLMBR_SK,CLMBR_DAPT,"0.32 [0.207, 0.43]","0.33 [0.21, 0.441]","-0.008 [-0.045, 0.021]",0.562,0.4
auprc_c,CLMBR_SK,CLMBR_DAPT,"0.889 [0.838, 0.933]","0.892 [0.84, 0.939]","-0.003 [-0.015, 0.005]",0.43,0.4
auroc,CLMBR_SK,CLMBR_DAPT,"0.891 [0.84, 0.936]","0.898 [0.845, 0.944]","-0.006 [-0.028, 0.005]",0.366,0.4
ece,CLMBR_SK,CLMBR_DAPT,"0.005 [0.003, 0.009]","0.006 [0.003, 0.01]","-0.001 [-0.002, 0.001]",0.374,0.4
auprc,CLMBR_DAPT,CLMBR,"0.282 [0.182, 0.382]","0.289 [0.184, 0.39]","-0.005 [-0.024, 0.011]",0.568,0.001
auprc_c,CLMBR_DAPT,CLMBR,"0.874 [0.824, 0.919]","0.875 [0.821, 0.922]","-0.001 [-0.007, 0.005]",0.788,0.001
auroc,CLMBR_DAPT,CLMBR,"0.879 [0.828, 0.922]","0.88 [0.826, 0.928]","-0.001 [-0.009, 0.008]",0.804,0.001
ece,CLMBR_DAPT,CLMBR,"0.006 [0.003, 0.009]","0.005 [0.003, 0.009]","0.0 [-0.001, 0.002]",0.42,0.001
auprc,CLMBR_SK,CLMBR_DAPT,"0.201 [0.12, 0.286]","0.297 [0.19, 0.401]","-0.094 [-0.142, -0.05]",0.0,0.01
